hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,mean_rent,district,age,ping,pred_ping,diff
894ba0a416bffff,121.5421469982444,25.03763301532605,1.0,1.0,0.0,1.0,0.583,12.0,3.0,2.0,2.0,1.0,1.0,55.684,0.0,4.0,1.0,0.0,3.0,10.0,-6.987242042379548e-6,76.6142857,1.259315372838953,194.158,1734.853,0.0,33.473,121.75856444,92.78151187894593,-28.977052561054066
894ba569263ffff,121.52865528790412,25.10713739117709,1.0,1.0,0.0,5.0,0.2,5.0,3.0,2.0,2.0,1.0,1.0,26.901,0.0,7.0,0.0,2.0,4.0,12.0,-4.2663356085593524e-8,61.1358601,0.9819666023739572,202.269,1815.424,0.65284,29.227,82.52433830000001,85.75532157160912,3.230983271609105
894ba0a4a8fffff,121.5693969845629,25.02453499241944,2.0,1.0,1.0,1.0,0.938,16.0,4.0,2.0,2.0,1.0,1.0,71.632,0.0,2.0,1.0,3.0,6.0,21.0,1.8234604460680164e-6,53.71282800000001,1.123431180259538,263.444,1730.113,0.40066,27.086,73.64066196,86.17562835366375,12.534966393663751
894ba0a4e2fffff,121.5661139607272,25.02974799137085,2.0,1.0,1.0,1.0,0.25,12.0,3.0,2.0,2.0,1.0,1.0,49.658,0.0,3.0,1.0,3.0,4.0,0.0,-4.0017885130972293e-7,59.11457730000001,1.123431180259538,246.362,1856.384,0.40066,15.543,80.53061032000001,85.62678822324285,5.096177903242847
894ba0a5947ffff,121.5595609888246,24.99199900077284,1.0,1.0,0.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,15.191,0.0,1.0,0.0,2.0,7.0,2.0,3.2842072688409643e-6,53.628863,0.8766219253524274,198.441,1165.934,0.80751,30.488,39.49571492,30.307217450347192,-9.188497469652805
894ba0a4e8bffff,121.54934319739664,25.03582709237739,2.0,1.0,1.0,1.0,0.429,14.0,2.0,2.0,2.0,1.0,1.0,73.017,0.0,3.0,1.0,1.0,2.0,16.0,-8.400472615887172e-6,80.42857140000001,1.259315372838953,158.696,2378.734,0.0,34.439,102.03087236,99.36639798810539,-2.664474371894613
894ba1da6c3ffff,121.56933101898494,24.983992984045287,2.0,1.0,0.0,5.0,0.4,5.0,3.0,2.0,2.0,1.0,1.0,33.124,0.0,8.0,0.0,3.0,8.0,11.0,2.860833681006868e-6,50.762973800000005,0.8766219253524274,237.674,1269.657,0.80751,33.35,41.964155780000006,40.874536347220904,-1.0896194327791022
894ba0a4c8fffff,121.56229944041104,25.05903691754632,1.0,1.0,0.0,1.0,0.867,15.0,2.0,1.0,1.0,1.0,1.0,23.401,0.0,3.0,1.0,1.0,4.0,4.0,-2.6944667491880627e-6,68.3746356,1.3448001818961128,183.6,1762.374,0.15267,42.176,71.79073628,79.63431717731088,7.843580897310872
894ba0a4dc7ffff,121.58162059773856,25.059688587917577,2.0,1.0,1.0,1.0,0.733,15.0,3.0,2.0,2.0,1.0,1.0,40.804,0.0,0.0,1.0,0.0,7.0,1.0,1.929756998978319e-6,54.75276970000001,1.3570544322769913,167.334,1860.905,0.58423,7.542,86.70253892,84.4374114600103,-2.2651274599896993
894ba0a6363ffff,121.51470699418088,25.068481017401663,4.0,1.0,1.0,1.0,0.909,11.0,2.0,2.0,1.0,1.0,0.0,25.244,1.0,8.0,0.0,0.0,6.0,19.0,2.751084527533907e-6,51.2291545,1.0450340557612128,247.939,1705.684,0.52195,38.651,87.50915412,86.39283030379123,-1.1163238162087765
894ba0a588fffff,121.53963502568178,24.998854014556315,5.0,1.0,0.0,5.0,0.6,5.0,3.0,2.0,2.0,1.0,1.0,31.647,0.0,7.0,0.0,0.0,6.0,13.0,-2.920999664832376e-6,68.81166180000001,0.8766219253524274,119.477,1457.925,0.80751,39.933,51.50502516,52.87463259373095,1.3696074337309483
894ba0a45d3ffff,121.51387902978524,25.064412986424017,1.0,1.0,1.0,1.0,0.769,13.0,2.0,1.0,1.0,1.0,1.0,30.186,0.0,3.0,4.0,1.0,10.0,9.0,2.4507525394658e-6,51.794752200000005,1.0450340557612128,133.98,1855.327,0.52195,42.74,69.90345506,69.58935979023295,-0.3140952697670514
894ba0a4e43ffff,121.55030896028052,25.02588900505839,1.0,1.0,0.0,1.0,0.176,17.0,3.0,2.0,2.0,1.0,1.0,53.448,1.0,6.0,0.0,1.0,9.0,9.0,-5.92936907579179e-6,69.7539359,1.259315372838953,276.127,1769.399,0.0,35.707,80.07705456000001,92.8559431579109,12.778888597910893
894ba0a4d13ffff,121.58476998171987,25.06078001813069,1.0,1.0,1.0,2.0,0.4,10.0,3.0,2.0,2.0,1.0,1.0,55.257,0.0,3.0,0.0,1.0,2.0,0.0,-1.241445078910791e-6,61.8125364,1.3570544322769913,136.112,1744.191,0.58423,5.036,75.42876918,74.71642517983425,-0.712344000165757
894ba0a443bffff,121.5082420322617,25.05340499107419,2.0,1.0,1.0,1.0,0.917,12.0,2.0,2.0,1.0,1.0,1.0,45.205,0.0,11.0,1.0,1.0,3.0,2.0,1.782900216527692e-6,52.576557900000005,1.0430798461912818,231.741,1499.551,0.52195,39.954,95.12241152,89.7048041057792,-5.417607414220797
894ba569283ffff,121.52319098893702,25.121675005704944,1.0,1.0,1.0,1.0,0.929,14.0,2.0,2.0,2.0,1.0,1.0,59.323,0.0,4.0,0.0,2.0,7.0,3.0,-0.0000104151871909,86.5,1.0283727376965008,129.452,1698.753,0.59608,28.095,74.65124502,76.80899000211961,2.1577449821196097
894ba0a462fffff,121.50667000632114,25.03392800457493,2.0,1.0,0.0,2.0,0.143,7.0,4.0,1.0,3.0,1.0,1.0,39.512,1.0,17.0,1.0,0.0,2.0,7.0,1.811074879903705e-7,61.6125364,1.201785851173782,152.799,1661.468,0.00286,36.47,57.45050646000001,63.216391152915364,5.765884692915357
894ba0a458bffff,121.52200796712282,25.06522800077927,1.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,38.054,1.0,22.0,1.0,2.0,5.0,9.0,1.0610001943247133e-7,57.57813410000001,1.3439455690375333,160.113,1960.675,0.31615,38.935,57.94340124,61.81522349250403,3.871822252504032
894ba0a6a57ffff,121.54492300075708,25.0629720115396,1.0,1.0,0.0,5.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,30.437,0.0,5.0,1.0,0.0,9.0,15.0,1.3581810534266123e-6,56.3259475,1.3449346365085029,258.546,1692.458,0.15267,37.717,76.55042712,59.74268301977077,-16.807744100229222
894ba0a4353ffff,121.52597101476324,25.02293698257904,1.0,1.0,0.0,1.0,0.833,12.0,3.0,2.0,2.0,1.0,1.0,37.407,1.0,7.0,0.0,0.0,2.0,5.0,-1.2693678936277907e-6,63.628571400000006,1.2848968117867006,265.579,2103.655,0.0,34.584,100.5161548,93.89756422043885,-6.618590579561143
894ba0a409bffff,121.51032803650496,25.04710599083785,1.0,1.0,1.0,1.0,0.2,15.0,2.0,2.0,1.0,1.0,1.0,40.096,2.0,11.0,1.0,0.0,8.0,1.0,5.986548632601875e-7,62.0953353,1.2639419339077729,141.009,1925.261,0.00286,34.872,92.87678158,86.40027984115682,-6.476501738843183
894ba0a45afffff,121.53300100077549,25.065392998543288,4.0,1.0,1.0,1.0,0.867,15.0,3.0,2.0,3.0,1.0,1.0,61.271,2.0,7.0,0.0,2.0,3.0,1.0,3.164100358088928e-6,48.8600583,1.344965233176035,287.098,2012.195,0.31615,37.503,77.03472682,62.91356176442714,-14.12116505557286
894ba0a4e43ffff,121.54831498933412,25.02610798227886,1.0,1.0,0.0,1.0,0.25,16.0,4.0,2.0,2.0,1.0,1.0,51.11,1.0,6.0,0.0,1.0,9.0,9.0,-5.92936907579179e-6,69.7539359,1.259315372838953,276.127,1769.399,0.0,35.707,97.59316644,95.19295567826671,-2.400210761733291
894ba0a4d03ffff,121.58483307231931,25.058808228418297,7.0,1.0,2.0,1.0,0.714,14.0,4.0,2.0,2.0,1.0,0.0,67.242,0.0,3.0,0.0,1.0,2.0,0.0,-3.1056699707389514e-6,65.99562680000001,1.3570544322769913,114.634,1612.91,0.58423,23.649,100.53036974,102.85364405209847,2.3232743120984765
894ba5692a7ffff,121.53246766027644,25.122385916822765,1.0,1.0,0.0,5.0,0.8,5.0,3.0,2.0,2.0,1.0,1.0,40.35,0.0,6.0,0.0,2.0,9.0,6.0,-2.015213207540397e-6,64.0912536,0.9819666023739572,176.198,1192.139,0.65284,30.425,56.00950824,51.72110827160788,-4.28839996839212
894ba0a5893ffff,121.53566443432852,25.00169300707136,1.0,1.0,1.0,1.0,0.143,14.0,3.0,2.0,2.0,1.0,1.0,54.504,0.0,0.0,0.0,0.0,2.0,0.0,-2.717642236281029e-6,70.2,0.8585454291394947,184.615,1242.403,0.80751,15.366,40.08877544,52.26797949306931,12.179204053069313
894ba0a6bafffff,121.57790503538116,25.07598898144252,2.0,1.0,0.0,5.0,0.6,5.0,4.0,2.0,2.0,1.0,1.0,30.208,0.0,7.0,0.0,1.0,6.0,12.0,-3.437290386116442e-7,61.224198300000005,1.3570544322769913,156.134,1945.696,0.58423,27.604,45.68384194,53.689289998496655,8.005448058496654
894ba0a4163ffff,121.54401197170095,25.041260996386995,1.0,1.0,0.0,1.0,0.667,12.0,2.0,2.0,1.0,1.0,1.0,25.791,2.0,3.0,0.0,0.0,8.0,18.0,-4.534005629149676e-6,67.0833819,1.259315372838953,383.89,1994.593,0.0,38.425,116.3195317,94.14291129205218,-22.176620407947823
894ba0a6527ffff,121.51364500704858,25.10879700775668,2.0,1.0,1.0,1.0,0.667,12.0,3.0,2.0,2.0,1.0,1.0,31.681,0.0,3.0,0.0,1.0,2.0,2.0,1.755487615814446e-6,56.7746356,1.0283727376965008,208.06,1509.795,0.59608,31.1,55.4911588,62.81427020567537,7.32311140567537
894ba0a5897ffff,121.53833499249924,25.001892999281125,7.0,1.0,0.0,5.0,0.2,5.0,3.0,1.0,2.0,1.0,1.0,25.331,1.0,6.0,0.0,3.0,8.0,6.0,-3.1550413966409333e-7,61.273177800000006,0.8766219253524274,188.393,1414.442,0.80751,35.767,81.55937528000001,66.53064893674122,-15.028726343258796
894ba0a450fffff,121.52570203949034,25.059602989377268,1.0,1.0,0.0,1.0,0.833,12.0,2.0,2.0,1.0,1.0,1.0,29.587,31.0,45.0,1.0,1.0,7.0,8.0,3.354985336126512e-6,48.2586006,1.344965233176035,328.12,1877.189,0.31615,36.989,43.93771838,48.2149261282465,4.277207748246504
894ba0a458bffff,121.52139801602874,25.0637939828745,1.0,1.0,0.0,2.0,0.6,10.0,1.0,0.0,1.0,1.0,1.0,4.501,2.0,13.0,0.0,2.0,8.0,18.0,1.0610001943247133e-7,57.57813410000001,1.3439455690375333,160.113,1960.675,0.31615,38.935,52.83957662,73.2227488720599,20.383172252059893
894ba0a4223ffff,121.51884396631216,25.021553004636218,2.0,1.0,1.0,1.0,0.286,14.0,4.0,2.0,2.0,1.0,1.0,36.62,0.0,3.0,1.0,1.0,0.0,2.0,-8.506813113106265e-7,63.246551700000005,1.221744490883664,264.396,1578.675,0.00286,40.585,60.07564224000001,68.07623029754271,8.0005880575427
894ba0a4503ffff,121.52574126679718,25.061144086095112,1.0,1.0,0.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,13.083,31.0,45.0,1.0,1.0,7.0,8.0,2.5126833298369406e-6,51.1527697,1.344965233176035,278.957,2005.296,0.31615,36.565,68.79105336,73.87298580424515,5.08193244424514
894ba0a4e1bffff,121.55176539977629,25.031015209402423,3.0,1.0,0.0,1.0,0.235,17.0,4.0,2.0,2.0,1.0,1.0,58.494,0.0,9.0,2.0,0.0,4.0,16.0,-5.871279271535185e-6,72.2489796,1.259315372838953,228.366,2062.029,0.0,37.309,85.47873176000002,85.37902593441578,-0.09970582558423757
894ba0a4cc7ffff,121.5557710274848,25.054443005963435,1.0,1.0,0.0,1.0,0.917,12.0,4.0,2.0,2.0,1.0,1.0,63.401,0.0,6.0,1.0,0.0,5.0,13.0,-6.021553171826829e-6,77.4889213,1.3448001818961128,161.392,1710.296,0.15267,29.571,70.78775656,74.45049378183897,3.6627372218389667
894ba0a4223ffff,121.51997703198344,25.021146985246403,1.0,1.0,1.0,1.0,0.867,15.0,3.0,2.0,2.0,1.0,1.0,46.515,0.0,3.0,1.0,1.0,0.0,2.0,-8.506813113106265e-7,63.246551700000005,1.221744490883664,264.396,1578.675,0.00286,40.585,105.95188174,89.58098859307283,-16.370893146927173
894ba0a4667ffff,121.50206297705978,25.02933698474864,1.0,1.0,0.0,1.0,0.25,12.0,3.0,2.0,2.0,1.0,1.0,32.652,0.0,14.0,1.0,0.0,2.0,11.0,5.038726187462762e-6,44.8469388,0.8758391766346513,274.983,1416.02,1.0,39.207,64.31533074000001,56.00537618860914,-8.309954551390867
