hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,district,age,mean_rent,pred_rent,diff
894ba0a4393ffff,121.52671197500392,25.03580601189089,1.0,1.0,1.0,2.0,0.286,7.0,3.0,2.0,2.0,1.0,1.0,55.542,4.0,4.0,1.0,1.0,12.0,23.0,-8.130911815425729e-6,81.6043732,1.2925373278034666,92.671,0.00286,37.696,2052.66,2074.156849251777,21.49684925177735
894ba0a4667ffff,121.4999740391504,25.029738016906062,3.0,1.0,0.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,19.557,1.0,8.0,1.0,0.0,6.0,11.0,5.038726187462762e-6,44.8469388,0.8758391766346513,274.983,1.0,39.207,1416.02,1415.9676459389264,-0.052354061073629055
894ba0a4d13ffff,121.58381762988114,25.06035518136824,1.0,1.0,0.0,2.0,0.5,10.0,2.0,1.0,1.0,1.0,1.0,23.658,0.0,3.0,0.0,1.0,2.0,0.0,-1.241445078910791e-6,61.8125364,1.3570544322769913,136.112,0.58423,5.036,1744.191,1744.139972844254,-0.051027155745941855
894ba56920fffff,121.52835600149274,25.112528002407643,2.0,1.0,0.0,5.0,0.8,5.0,3.0,2.0,2.0,1.0,1.0,34.926,0.0,7.0,0.0,4.0,3.0,21.0,-1.5608957850480884e-6,65.1653061,0.9823262839879154,180.034,0.65284,30.603,1376.746,1376.7343966651624,-0.011603334837673174
894ba0a446fffff,121.50873203832134,25.046054020079808,1.0,1.0,1.0,1.0,0.929,14.0,3.0,2.0,1.0,1.0,1.0,34.328,2.0,11.0,1.0,0.0,8.0,1.0,3.535642008867e-6,46.2265306,0.8983935303495525,254.111,1.0,18.037,1885.484,1885.4840000000038,3.865352482534945e-12
894ba0a4da3ffff,121.59104417152288,25.066493416701675,2.0,1.0,1.0,2.0,0.429,7.0,1.0,1.0,1.0,1.0,1.0,34.137,0.0,2.0,0.0,0.0,0.0,3.0,-2.827132441381121e-6,67.42740520000001,1.3570544322769913,138.475,0.58423,29.847,1633.408,1614.3792354866273,-19.028764513372607
894ba0a4d5bffff,121.57752198240604,25.05068300992748,1.0,1.0,0.0,2.0,0.6,10.0,1.0,1.0,1.0,1.0,1.0,13.96,0.0,1.0,0.0,1.0,15.0,5.0,2.374968225789294e-6,50.262973800000005,1.3456086058968888,268.633,0.15267,33.042,2053.946,2040.3320651732308,-13.613934826769082
894ba0a4213ffff,121.50931902300069,25.023981996357435,1.0,1.0,0.0,1.0,1.0,12.0,2.0,2.0,1.0,1.0,1.0,18.259,0.0,24.0,0.0,0.0,10.0,11.0,5.286837793711085e-6,45.5204082,0.8758391766346513,319.854,1.0,4.0,1391.089,1391.0889999999943,-5.6843418860808015e-12
894ba0a4577ffff,121.53063797463228,25.056715591371383,2.0,1.0,0.0,2.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,15.709,3.0,11.0,0.0,1.0,5.0,13.0,6.927810350843089e-7,58.7166181,1.344965233176035,236.155,0.31615,39.151,1940.051,1941.105626020203,1.054626020203159
894ba0a4563ffff,121.52713601548557,25.05449099235912,1.0,1.0,1.0,1.0,0.824,17.0,2.0,2.0,2.0,1.0,1.0,36.775,3.0,12.0,0.0,2.0,4.0,9.0,8.121542661813736e-7,58.5720117,1.344965233176035,258.213,0.31615,34.623,1873.112,1883.384447982915,10.272447982914855
894ba0a415bffff,121.53171898868482,25.03860799830342,3.0,1.0,1.0,1.0,1.0,12.0,3.0,2.0,2.0,1.0,1.0,65.249,2.0,6.0,0.0,2.0,5.0,12.0,-7.714357068183753e-6,78.3067055,1.2910184772775353,284.528,0.00286,38.834,2233.501,2166.650008333157,-66.85099166684313
894ba0a43dbffff,121.5200160078332,25.02589499811917,1.0,1.0,1.0,1.0,0.429,14.0,3.0,2.0,2.0,1.0,1.0,51.398,0.0,15.0,0.0,1.0,13.0,18.0,-3.219907473857137e-6,71.03061220000001,1.292726678731812,183.175,0.00286,33.185,1906.948,1908.303095299326,1.355095299325967
894ba1d360fffff,121.59376183598944,25.07692469520352,3.0,1.0,1.0,1.0,0.909,11.0,3.0,2.0,2.0,1.0,0.0,53.022,0.0,2.0,0.0,0.0,1.0,0.0,-3.159357054825672e-7,61.5924198,1.3570544322769913,142.509,0.58423,35.72,1737.409,1737.5833624407603,0.17436244076020557
894ba0a43dbffff,121.52203504067012,25.027234007151435,1.0,1.0,0.0,1.0,0.583,12.0,3.0,2.0,1.0,1.0,1.0,24.049,0.0,15.0,0.0,1.0,13.0,18.0,-3.219907473857137e-6,71.03061220000001,1.292726678731812,183.175,0.00286,33.185,1906.948,1908.2012974961362,1.253297496136156
894ba0a6373ffff,121.51107695955368,25.06932738007481,1.0,1.0,0.0,1.0,0.909,11.0,2.0,1.0,1.0,1.0,0.0,20.503,1.0,8.0,0.0,2.0,6.0,5.0,5.218260765390459e-6,43.755102,1.0450340557612128,210.301,0.52195,38.314,1617.476,1617.4760000000101,1.000444171950221e-11
894ba0a46abffff,121.498603011248,25.03916799325457,1.0,1.0,0.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,10.019,1.0,14.0,0.0,3.0,2.0,1.0,4.373844051063225e-6,46.174927100000005,0.8758391766346513,347.3,1.0,35.896,1641.284,1641.283999999996,-4.092726157978177e-12
894ba0a4e07ffff,121.55854300668398,25.033768999871697,1.0,1.0,1.0,2.0,0.5,8.0,4.0,2.0,2.0,1.0,1.0,60.751,4.0,11.0,0.0,1.0,7.0,20.0,-1.011071147546002e-6,64.6845481,1.1578096660478916,224.164,0.40066,23.623,2055.044,2056.173606410516,1.1296064105163168
894ba1d32a3ffff,121.61379701533065,25.070681979446988,1.0,1.0,0.0,5.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,37.501,1.0,8.0,0.0,2.0,4.0,19.0,1.0977696141101325e-6,59.8930029,1.3570544322769913,80.247,0.58423,27.815,1426.671,1427.241666216242,0.5706662162419889
894ba0a4587ffff,121.52591996897286,25.06777400386882,1.0,1.0,0.0,2.0,0.3,10.0,1.0,0.0,1.0,1.0,1.0,10.4,1.0,2.0,0.0,0.0,3.0,1.0,2.700245174096811e-6,54.2,1.344965233176035,209.739,0.31615,39.24,1834.032,1819.7096396380277,-14.322360361972187
894ba0a4083ffff,121.5140040039616,25.046821006129875,1.0,1.0,0.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,10.851,2.0,12.0,0.0,1.0,6.0,4.0,9.254926700662192e-9,63.25801750000001,1.2709310472811994,128.001,0.00286,36.895,2109.902,2032.2970088081931,-77.6049911918069
894ba0a4e77ffff,121.56025903372108,25.028402989277808,1.0,1.0,0.0,5.0,0.25,4.0,1.0,2.0,1.0,1.0,1.0,20.897,0.0,4.0,0.0,2.0,1.0,1.0,2.4312885717024237e-6,51.374635600000005,1.123431180259538,304.748,0.40066,27.573,1853.508,1846.062179746058,-7.445820253941974
894ba1da68fffff,121.5762500285992,24.99111500335444,2.0,1.0,0.0,5.0,0.6,5.0,3.0,2.0,2.0,1.0,1.0,33.801,0.0,1.0,0.0,1.0,1.0,1.0,-2.727482111617333e-6,62.9950437,0.8766219253524274,135.078,0.80751,29.605,1279.036,1280.2114958243571,1.1754958243570854
