name,lat,lng,hex_id
安郁藥局,121.551182,25.046085,890cec7623bffff
榮星藥局,121.555235,25.052136,890cec7622fffff
安世藥局,121.555561,25.05214,890cec7635bffff
明一藥局,121.558167,25.052703,890cec7634bffff
傑安藥局,121.547337,25.049139,890cec76207ffff
仁弘藥局,121.546586,25.059484,890cec762a7ffff
益華藥局,121.561545,25.058275,890cec7634fffff
德靈藥局,121.566672,25.061775,890cec745d3ffff
健全藥局,121.544911,25.063268,890cec762b7ffff
李得安藥局,121.559856,25.057333,890cec7634fffff
瑞昌大藥局,121.544918,25.062984,890cec762b7ffff
合生藥局,121.560748,25.053637,890cec744b3ffff
上允藥局,121.559049,25.058364,890cec76343ffff
建東大藥局,121.563398,25.057234,890cec744b7ffff
和諧藥局,121.562151,25.058494,890cec7634fffff
德恩藥師藥局,121.546142,25.047971,890cec76217ffff
延壽藥局,121.560363,25.056785,890cec7634fffff
萬泰藥局,121.547103,25.059943,890cec762a7ffff
博荃藥局,121.544742,25.050063,890cec76217ffff
德川中西藥局,121.56066,25.048359,890cec74487ffff
家音藥局,121.558488,25.058709,890cec76343ffff
中美藥局,121.565481,25.061285,890cec7636bffff
康麗藥局,121.546812,25.053739,890cec762abffff
惠登藥局,121.546113,25.056197,890cec762a3ffff
松田藥局,121.55355,25.047007,890cec7622bffff
予志藥局,121.564944,25.061185,890cec7636bffff
婕登藥局,121.576644,25.050207,890cec74543ffff
晨安藥局,121.555325,25.049137,890cec7622fffff
銘德藥局,121.545925,25.047242,890cec76217ffff
政昇藥局,121.569691,25.051062,890cec74437ffff
立康大藥局,121.558111,25.048117,890cec74497ffff
躍獅松和藥局,121.576092,25.04979,890cec7455bffff
京東藥局,121.566945,25.05114,890cec744afffff
晨新藥局,121.560761,25.048943,890cec74487ffff
躍獅京華藥局,121.559562,25.051715,890cec7634bffff
綠之家藥局,121.556217,25.056197,890cec7635bffff
德安藥局,121.55619,25.048162,890cec74497ffff
康采藥局,121.566253,25.052363,890cec744a3ffff
誠康中西藥局,121.560723,25.053457,890cec744b3ffff
慶昌藥局,121.553706,25.045949,890cec7622bffff
唯康藥局,121.556636,25.048196,890cec74497ffff
台北長庚維康藥局,121.550034,25.055634,890cec76237ffff
專品南京藥局,121.553167,25.051846,890cec76223ffff
芝欣藥局,121.554815,25.047992,890cec7622fffff
立赫敦北藥局,121.547743,25.059446,890cec762afffff
富景藥局,121.563097,25.060784,890cec7637bffff
健康活力藥師藥局,121.56693,25.05931,890cec745d3ffff
啄木鳥藥局,121.563957,25.048936,890cec744bbffff
玖田藥局,121.575529,25.050177,890cec7455bffff
澄馨藥局,121.563524,25.0558,890cec744b7ffff
一安正昇藥局,121.566666,25.051553,890cec744afffff
杏一延吉藥局,121.552717,25.046243,890cec7622bffff
松山八德藥局,121.54657,25.048043,890cec76207ffff
新德大藥局,121.577035,25.050743,890cec74543ffff
光點延新藥局,121.565969,25.057162,890cec744a7ffff
欣生藥局,121.561699,25.058532,890cec7634fffff
杏一台北長庚藥局,121.550038,25.055685,890cec76237ffff
立赫民生藥局,121.552415,25.057867,890cec763cbffff
大樹松山藥局,121.560139,25.058776,890cec7634fffff
佑全松山南京東藥局,121.566247,25.052005,890cec744a3ffff
躍獅敦北藥局,121.553124,25.057129,890cec76227ffff
佑翔藥局,121.55969,25.058805,890cec7634fffff
美優康藥局,121.553314,25.058242,890cec763cbffff
民生盛康藥局,121.56477,25.058257,890cec744b7ffff
安禾大藥局,121.565625,25.064429,890cec7636fffff
巧心藥局,121.552139,25.045674,890cec7622bffff
順儷中崙藥局,121.552449,25.046849,890cec7622bffff
晨心藥局,121.544448,25.057987,890cec762a3ffff
家育藥局,121.565047,25.058848,890cec7636bffff
杏一台北台安藥局,121.546527,25.048328,890cec76207ffff
全欣藥局,121.544238,25.051051,890cec76217ffff
逸菁中西特約藥局,121.549792,25.045722,890cec7623bffff
駿俏藥局,121.54647,25.048328,890cec76207ffff
豐澤藥局,121.545507,25.052519,890cec762abffff
